,Actor,Movies
57,Gabrielle Fitzpatrick,"['Mr. Nice Guy', ""Mighty Morphin' Power Rangers: The Movie""]"
58,Carl Weathers,"['Predator', 'Little Nicky']"
59,Tippi Hedren,"['The Birds', 'Marnie']"
60,Zhang Ziyi,"['2046', 'Hero']"
61,Jay O. Sanders,"['JFK', 'Daylight']"
62,Louise Fletcher,"['Brainstorm', 'Exorcist II: The Heretic']"
63,Ryo Ishibashi,"['Audition', 'Brother']"
64,Frank Gorshin,"['That Darn Cat!', 'Batman']"
65,David Schwimmer,"['Wolf', 'Apt Pupil', 'Rapunzel', 'Uprising', 'Madagascar']"
66,Kathleen Quinlan,"['The Doors', 'Event Horizon', 'Apollo 13', ""Airport '77"", 'Twilight Zone: The Movie']"
67,Mos Def,"['Carmen: A Hip Hopera', ""Monster's Ball"", ""The Hitchhiker's Guide to the Galaxy""]"
68,Kathy Najimy,"['Rat Race', 'Sister Act 2: Back in the Habit']"
69,Anthony Heald,"['Red Dragon', '8mm']"
70,Faizon Love,"['Posse', 'Friday', 'Elf', 'Made']"
71,Hugh Bonneville,"['Notting Hill', 'Iris']"
72,Royce D. Applegate,"['Gettysburg', 'Seabiscuit', 'Splash']"
73,Sterling Hayden,"['The Star', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb', 'Suddenly', '1900']"
74,Moira Kelly,"[""The Lion King II: Simba's Pride"", 'Chaplin', 'Twin Peaks: Fire Walk With Me']"
75,Celia Weston,"['The Talented Mr. Ripley', 'The Village', 'Hulk']"
76,Nathan West,"['Miracle', 'Bring It On']"
77,Alan North,"['Jerky Boys: The Movie', 'Lean on Me']"
78,Richard E. Grant,"[""Bram Stoker's Dracula"", 'Cuckoo']"
79,Barry Sullivan,"['Earthquake', 'Queen Bee', 'Strategic Air Command']"
80,Henry Gibson,"['Tom and Jerry: The Movie', 'Magnolia', 'Gremlins 2: The New Batch', 'Nashville', ""The 'Burbs""]"
81,Naomi Watts,"['Mulholland Drive', 'Ned Kelly', 'Rabbits', 'Flirting', 'King Kong']"
82,Cheech Marin,"['Cars', 'Born in East L.A.', 'Desperado', 'After Hours', 'Oliver & Company', ""Cheech & Chong's Next Movie"", ""Cheech & Chong's Up in Smoke""]"
83,Kieran Culkin,"['Home Alone 2: Lost in New York', 'Father of the Bride', ""She's All That""]"
84,Joanne Whalley,"['Willow', 'Scandal']"
85,Lew Ayres,"['State Fair', 'Young Dr. Kildare']"
86,Nancy Kyes,"['Assault on Precinct 13', ""John Carpenter's The Fog"", 'Halloween', 'Halloween III: Season of the Witch']"
87,Gina Gershon,"['Guinevere', 'Prey for Rock & Roll', 'Bound', 'The Insider', 'Face/Off', 'Cocktail']"
88,Bernard Hill,"['Titanic', 'The Lord of the Rings: The Two Towers', 'The Lord of the Rings: The Return of the King']"
89,Katharine Towne,"['Mulholland Drive', ""But I'm a Cheerleader""]"
90,Mink Stole,"['Cecil B. Demented', ""But I'm a Cheerleader"", 'Polyester']"
91,Alan King,"[""Cat's Eye"", 'Casino']"
92,Jennifer Coolidge,"['Down to Earth', ""Lemony Snicket's A Series of Unfortunate Events"", 'Legally Blonde 2: Red, White & Blonde', 'The Broken Hearts Club: A Romantic Comedy', 'Robots']"
93,Jason London,"['Dazed and Confused', 'Greed', 'Out Cold', 'To Wong Foo, Thanks for Everything! Julie Newmar']"
94,Vanessa L. Williams,"['Eraser', 'Soul Food', 'The Jacksons: An American Dream', 'Shaft']"
95,Joan Collins,"['Tales from the Crypt', 'Island in the Sun']"
96,Eric Idle,"['Casper', 'The Rutles', 'South Park: Bigger, Longer & Uncut', 'Delgo', 'An Alan Smithee Film: Burn Hollywood Burn']"
97,Elizabeth McGovern,"['Ragtime', ""She's Having a Baby"", 'King of the Hill']"
98,Don Rickles,"['X', ""Kelly's Heroes"", 'Dirty Work', 'Casino']"
99,Betty Field,"['Of Mice and Men', 'Bus Stop', 'Picnic']"
100,Peter Graves,"['The Night of the Hunter', 'Mission: Impossible', 'Airplane!']"
101,Michael Graham Cox,"['The Lord of the Rings', 'Watership Down']"
102,Ben Stein,"['Casper', 'The Mask', ""Ferris Bueller's Day Off""]"
103,Ray Park,"['Mortal Kombat: Annihilation', 'Ballistic: Ecks vs. Sever', 'X-Men', 'Star Wars Episode I: The Phantom Menace']"
104,Charles S. Dutton,"['', 'Aftershock: Earthquake in New York', ""Cat's Eye"", 'Rudy', 'Mimic']"
105,Elsa Lanchester,"['That Darn Cat!', 'Mary Poppins']"
106,Larry Miller,"['The Princess Diaries', ""Max Keeble's Big Move"", 'Chairman of the Board']"
107,Sean Pertwee,"['Soldier', 'Equilibrium', 'Event Horizon']"
108,Miko Hughes,"[""Wes Craven's New Nightmare"", 'Apollo 13', 'Spawn']"
109,Richard Eyer,['Friendly Persuasion']
110,Portia de Rossi,"['Cursed', 'Sirens']"
111,Judy Greer,"['Adaptation', 'Cursed', 'The Village', 'Three Kings']"
112,Robert Wuhl,"['Cobb', 'Batman']"
113,Mira Sorvino,"[""Romy and Michele's High School Reunion"", 'Mimic', 'The Final Cut', 'Barcelona']"
114,James Gleason,"[""The Bishop's Wife"", 'Suddenly', 'Arsenic and Old Lace', 'The Night of the Hunter']"
115,Eve,"['Barbershop 2: Back in Business', 'Barbershop']"
116,Howard Da Silva,"['M', 'Abe Lincoln in Illinois']"
117,Jack Albertson,"['The Fox and the Hound', 'The Poseidon Adventure', 'Willy Wonka & the Chocolate Factory']"
118,Jessica Alba,"['Fantastic Four', 'Honey', 'Sin City']"
119,Don Cheadle,"['Traffic', 'Volcano', ""Ocean's Twelve"", 'Swordfish']"
120,Marilyn Monroe,"['Bus Stop', 'The Misfits']"
121,Bud Cort,"[""But I'm a Cheerleader"", 'Dogma', 'Pollock', 'MASH']"
122,Adam Sandler,"['Anger Management', 'Dirty Work', 'Little Nicky', 'Big Daddy', 'Bulletproof', 'Spanglish']"
123,Abigail Breslin,"['Signs', 'The Princess Diaries 2: Royal Engagement']"
124,Hallee Hirsh,"['Speak', ""You've Got Mail""]"
125,Ray Wise,"['Twin Peaks: Fire Walk With Me', 'Dead End']"
126,Leslie Cheung,"['Rouge', ""All's Well, Ends Well Too"", 'The Kid', ""He's a Woman, She's a Man"", 'Double Tap', 'Once a Thief', 'Happy Together', ""All's Well, Ends Well""]"
127,Rose Dione,['Salome']
128,Joseph Morgan,"['Master and Commander: The Far Side of the World', 'Alexander']"
129,Bai Ling,"['The Crow', 'Nixon']"
130,Gwyneth Paltrow,"['Austin Powers: Goldmember', 'The Talented Mr. Ripley', 'Hook', 'Sylvia', 'Mrs. Parker and the Vicious Circle', 'Hard Eight', 'Possession']"
131,Nanako Matsushima,"['Whiteout', 'Ring']"
132,John DeMita,"['Laputa: Castle in the Sky', 'Final Fantasy: The Spirits Within', ""Kiki's Delivery Service""]"
133,Dean Stockwell,"['Batman Beyond: Return of the Joker', 'Air Force One', 'Dune', 'Tucker: The Man and His Dream', 'The Rainmaker']"
134,Kathryn Grayson,"['Show Boat', 'Anchors Aweigh']"
135,Shelley Duvall,"['The Shining', 'Nashville', 'Roxanne', 'Popeye', 'Home Fries']"
136,Nastassja Kinski,"[""Fathers' Day"", 'Paris, Texas', 'Savior', 'Cat People']"
137,Shannon Lee,"['High Voltage', 'Dragon: The Bruce Lee Story']"
138,Cara Seymour,"[""You've Got Mail"", 'Adaptation']"
139,Charlie Hunnam,"['Whatever Happened to Harold Smith?', 'Cold Mountain']"
140,Carole Shelley,"['Hercules', 'Robin Hood']"
141,Patrick Macnee,"['Scrooge', 'The Avengers', 'The Battle of the River Plate']"
142,Sienna Guillory,"['Resident Evil: Apocalypse', 'Eragon']"
143,Smita Jaykar,['Mujhse Dosti Karoge!']
144,Billie Burke,"['Swing Out, Sister', 'Topper', 'The Wizard of Oz']"
145,William Bendix,"['Lifeboat', 'Wake Island']"
146,Robby Benson,"['Beauty and the Beast', 'Beauty and the Beast: The Enchanted Christmas']"
147,Tommy Lee Jones,"['JFK', 'The Hunted', 'Heaven & Earth', 'Man of the House', 'Volcano', 'Men in Black', 'Cobb', 'Rules of Engagement', ""Coal Miner's Daughter"", 'Double Jeopardy']"
148,David Tennant,"['Harry Potter and the Goblet of Fire', 'Jude']"
149,Aidan Quinn,"['The Mission', 'Michael Collins', 'Blink', 'Benny & Joon', 'Avalon']"
150,Masako Nozawa,"['Clash!! 10,000,000,000 Powerful Warriors', 'Rebirth of Fusion!! Goku and Vegeta!!', 'A Lonesome, Final Battle: The Father of Z-Warrior Son Goku, who Challenged Freeza', 'Dead Zone', 'Burn Up!! A Close, Intense, Super-Fierce Battle']"
151,Valentina Cortese,"['Day for Night', 'Jesus of Nazareth']"
152,Nigel Green,"['Zulu', 'Tobruk']"
153,Walter Brennan,"['Come and Get It', 'Kentucky', 'Rio Bravo', 'How the West Was Won', 'Fury', 'Red River']"
154,Sean Bean,"['The Lord of the Rings: The Fellowship of the Ring', 'Caravaggio', 'National Treasure', 'Ronin', 'The Lord of the Rings: The Two Towers', ""Don't Say a Word"", 'Equilibrium', 'Troy', 'The Island', 'The Lord of the Rings: The Return of the King']"
155,Kate Bosworth,"['Beyond the Sea', 'Win a Date with Tad Hamilton!', 'The Rules of Attraction']"
156,Snoop Dogg,"['Starsky & Hutch', 'Baby Boy', 'The Wash']"
157,Dean Jagger,"['Vanishing Point', ""Twelve O'Clock High"", 'Brigham Young']"
158,Cecil Kellaway,"['Love Letters', 'The Beast from 20,000 Fathoms', ""Guess Who's Coming to Dinner""]"
159,Jennifer Jones,"['Beat the Devil', 'The Song of Bernadette', 'Gone to Earth', 'Love Is a Many-Splendored Thing', 'Love Letters']"
160,Paul Muni,"['Scarface', 'The Good Earth', 'Juarez']"
161,Francesca Annis,"['Dune', 'Macbeth']"
162,Paul Reiser,"['Aliens', 'Diner']"
163,Eric Walker,"['Ewoks: The Battle for Endor', 'Caravan of Courage: An Ewok Adventure']"
164,Wendie Malick,"[""The Emperor's New Groove"", 'The American President']"
165,John Turturro,"['Anger Management', ""Miller's Crossing"", 'Rounders', 'State of Grace', 'O Brother, Where Art Thou?', 'Collateral Damage', 'Fearless']"
166,Wendy Hiller,"[""I Know Where I'm Going!"", 'The Elephant Man']"
167,Vernon Wells,"['Commando', 'Weird Science', 'Mad Max 2: The Road Warrior']"
168,Rochelle Hudson,"['Les Miserables', ""Sinkin' in the Bathtub""]"
169,Ann Miller,"['Room Service', 'Mulholland Drive', ""That's Entertainment III""]"
170,Alicia Silverstone,"['Scooby-Doo 2: Monsters Unleashed', 'Batman & Robin', ""Love's Labour's Lost""]"
171,Izabella Scorupco,"['Reign of Fire', 'Exorcist: The Beginning']"
172,Tomokazu Seki,"['Pokamon: Legend Comes to Life', 'Escaflowne']"
173,Alastair Galbraith,"['Small Faces', 'Intimacy']"
174,Roger L. Jackson,"['The Chronicles of Riddick: Dark Fury', 'Scream']"
175,Mike McShane,"['Vampire Hunter D: Bloodlust', ""A Bug's Life"", 'Robin Hood: Prince of Thieves']"
176,Devon Sawa,"['Casper', 'SLC Punk!']"
177,Nichelle Nichols,"['Star Trek V: The Final Frontier', 'Star Trek: The Motion Picture', 'Are We There Yet', 'Star Trek IV: The Voyage Home', 'Star Trek II: The Wrath of Khan', 'Star Trek III: The Search for Spock', 'Star Trek VI: The Undiscovered Country']"
178,Elizabeth Banks,"['Swept Away', 'Seabiscuit']"
179,Eric Bana,"['Chopper', 'Hulk', 'Troy']"
180,Paul Gleason,"['Ewoks: The Battle for Endor', ""Morgan Stewart's Coming Home""]"
181,Bam Margera,"['CKY', 'Jackass: The Movie']"
182,Russi Taylor,"['Aladdin', ""Mickey's Twice Upon a Christmas"", 'Babe', 'DuckTales the Movie: Treasure of the Lost Lamp']"
183,Jeremy Slate,['The Lawnmower Man']
184,Barry Pepper,"['The Green Mile', '61*', 'Enemy of the State', '25th Hour', '3: The Dale Earnhardt Story']"
185,Farley Granger,"['Strangers on a Train', 'Rope', 'Hans Christian Andersen']"
186,Tom Noonan,"['Heat', 'Manhunter']"
187,Michael Beach,"['Lean on Me', 'Soul Food']"
188,Gene Tierney,"['Heaven Can Wait', 'Laura']"
189,Gates McFadden,"['Star Trek: First Contact', 'Star Trek Nemesis', 'Star Trek: Generations', 'Star Trek: Insurrection']"
190,CCH Pounder,"[""Prizzi's Honor"", 'Tales from the Crypt presents: Demon Knight']"
191,Tommy Flanagan,"[""Charlie's Angels: Full Throttle"", 'AVP: Alien vs. Predator', 'Sin City', 'The Saint', 'Face/Off']"
192,Wallace Shawn,"['The Princess Bride', 'Chicken Little', 'Starting Over']"
193,Shelley Winters,"[""Pete's Dragon"", 'The Night of the Hunter', 'Lolita', 'Heavy', 'The Diary of Anne Frank', ""Winchester '73"", 'The Poseidon Adventure', 'Diamonds', 'S.O.B.']"
194,Tony Curtis,"['Captain Newman, M.D.', 'Spartacus', 'The Last Tycoon']"
195,Mekhi Phifer,"['Honey', 'Carmen: A Hip Hopera', 'Soul Food', 'Shaft', 'O', 'Dawn of the Dead']"
196,Anna Massey,"['Impromptu', 'Peeping Tom']"
197,Jill Clayburgh,"['Silver Streak', 'Starting Over']"
198,Jackie Cooper,"['Superman IV: The Quest For Peace', 'Skippy', 'Superman']"
199,Jude Law,"['Bent', 'The Talented Mr. Ripley', 'I heart Huckabees', ""Lemony Snicket's A Series of Unfortunate Events"", 'Wilde', 'Closer', 'Cold Mountain', 'A.I.', ""All the King's Men"", 'Alfie']"
200,John Cho,"['Evolution', 'Harold & Kumar Go to White Castle']"
201,Telly Savalas,"[""Mackenna's Gold"", ""Kelly's Heroes""]"
202,Johnny Yong Bosch,"['Akira', ""Mighty Morphin' Power Rangers: The Movie""]"
203,Keenan Wynn,"['The Last Unicorn', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb', 'Point Blank']"
204,Bela Lugosi,"['Dracula', 'Glen or Glenda?']"
205,Vanessa Lee Chester,"[""She's All That"", 'The Lost World: Jurassic Park']"
206,Giancarlo Giannini,"['Fever Pitch', 'Man on Fire', 'Hannibal', 'Dune', 'Mimic', 'Casino Royale', 'Darkness', 'Once Upon a Crime...']"
207,Steve Carell,"['Anchorman: The Legend of Ron Burgundy', 'Sleepover']"
208,Rose McGowan,"['Nowhere', 'Scream']"
209,Rick Ducommun,"['Groundhog Day', ""The 'Burbs""]"
210,Kareena Kapoor,"['Mujhse Dosti Karoge!', 'Khabi Khushi Kabhi Gham', 'Chameli', 'Asoka']"
211,Jack Watson,"['Tobruk', 'Peeping Tom']"
212,Joan Lunden,"['What About Bob?', 'Free Willy 2: The Adventure Home', 'Conspiracy Theory']"
213,Mary-Louise Parker,"['Red Dragon', 'The Portrait of a Lady', 'Saved!']"
214,Susan George,"['Mandingo', 'Dirty Mary, Crazy Larry']"
215,Andrea Martin,"['Jimmy Neutron: Boy Genius', 'Boris and Natasha']"
216,Callum Keith Rennie,"['Blade: Trinity', 'Flower & Garnet']"
217,Jason Scott Lee,"['The Jungle Book', 'Soldier', 'Dragon: The Bruce Lee Story', 'Lilo & Stitch']"
218,Timothy Hutton,"['Kinsey', 'French Kiss', 'Deterrence']"
219,Hilary Swank,"[""Boys Don't Cry"", 'The Gift']"
220,Daryl Sabara,"['Spy Kids 2: Island Of Lost Dreams', 'John Carter of Mars']"
221,Michael Weston,"['Garden State', 'The Dukes of Hazzard']"
222,Sam Bottoms,"[""Hearts of Darkness: A Filmmakers's Apocalypse"", 'Seabiscuit']"
223,Cecil Parker,"['Swiss Family Robinson', ""The Pure Hell of St Trinian's""]"
224,Nigel Terry,"['Excalibur', 'Edward II', 'Troy', 'Caravaggio']"
225,Diane Ladd,"[""National Lampoon's Christmas Vacation"", 'Chinatown', ""Alice Doesn't Live Here Anymore"", 'Wild at Heart']"
226,Ian Hart,"[""Harry Potter and the Philosopher's Stone"", 'Monument Ave.', 'Michael Collins', 'Enemy of the State']"
227,Burt Lancaster,"['Airport', 'The Osterman Weekend', 'The Professionals', ""Ulzana's Raid"", '1900', ""Dead Men Don't Wear Plaid"", 'Come Back, Little Sheba', 'Vera Cruz', ""His Majesty O'Keefe"", 'Atlantic City', 'Gunfight at the O.K. Corral', 'Sorry, Wrong Number', ""The Devil's Disciple""]"
228,Paul Walker,"['The Skulls', 'The Fast and the Furious', 'Timeline', ""She's All That""]"
229,Jon Lovitz,"['Happiness', 'Cats & Dogs', 'Rat Race', 'Â¡Three Amigos!', 'Mr. Destiny', 'An American Tail: Fievel Goes West', 'Matilda', 'The Brave Little Toaster', 'The Stepford Wives', 'North']"
230,Brigitte Fossey,"['Quintet', 'Enigma']"
231,Stanley Beck,['Lenny']
232,John Candy,"['JFK', 'Heavy Metal', 'Stripes', 'Armed and Dangerous', 'Splash', '1941', ""Who's Harry Crumb?"", 'Once Upon a Crime...']"
233,Leo G. Carroll,"['Strangers on a Train', ""Bulldog Drummond's Secret Police"", 'Suspicion', 'Spellbound']"
234,Peter Sarsgaard,"['K-19: The Widowmaker', 'Kinsey', 'Garden State', ""Boys Don't Cry""]"
235,Larry B. Scott,"['That Was Then... This Is Now', 'Revenge of the Nerds II: Nerds in Paradise']"
236,Ann Robinson,['The War of the Worlds']
237,Mike White,"['Orange County', 'The Stepford Wives']"
238,Sarah Michelle Gellar,"['Scooby-Doo', 'Scooby-Doo 2: Monsters Unleashed']"
239,Giuseppe Andrews,"['Detroit Rock City', 'Cabin Fever']"
240,Hans Conried,"['The 5,000 Fingers of Dr. T', 'Peter Pan']"
241,Dan Monahan,"[""Porky's"", 'Only When I Laugh']"
242,Patrick Wymark,"['Witchfinder General', 'Battle of Britain']"
243,Frank Whaley,"['Pulp Fiction', 'Swing Kids', 'The Doors']"
244,Edward G. Robinson,"['The Ten Commandments', 'Double Indemnity', 'Key Largo']"
245,Leo Carrillo,"['Viva Villa!', 'Phantom of the Opera']"
246,Brian Thompson,"['Mortal Kombat: Annihilation', 'Cobra', 'Alien Nation', 'The Order']"
247,James Coburn,"['Eraser', 'Affliction', 'Candy', 'Maverick', 'Midway', 'Sister Act 2: Back in the Habit']"
248,Gunnar Bjornstrand,"['Face to Face', 'Wild Strawberries']"
249,Lynne Thigpen,"['Anger Management', 'Shaft']"
250,John Saxon,"['Fever Pitch', ""Wes Craven's New Nightmare""]"
251,Ryo Horikawa,"['Burn Up!! A Close, Intense, Super-Fierce Battle', 'Clash!! 10,000,000,000 Powerful Warriors', 'Rebirth of Fusion!! Goku and Vegeta!!']"
252,Jami Gertz,"['Crossroads', 'Endless Love', 'Twister']"
253,Michael Badalucco,"['O Brother, Where Art Thou?', ""The Man Who Wasn't There""]"
254,Liza Minnelli,"[""That's Dancing!"", 'Cabaret', 'Arthur', 'New York, New York']"
255,Lionel Stander,"['Cul-de-Sac', 'New York, New York']"
256,Imogene Coca,"['Nothing Lasts Forever', 'Vacation']"
257,Erika Christensen,"['Traffic', 'Riding the Bullet']"
258,Peter Jason,['Alien Nation']
259,Christian Berkel,"[""The Serpent's Egg"", 'Downfall']"
260,Douglas Smith,"[""Santa's Slay""]"
261,Val Kilmer,"['Tombstone', 'The Real McCoy', 'Spartan', 'The Doors', 'Willow', 'Top Gun', 'Top Secret!', 'Heat', 'Pollock', 'Delgo', 'Alexander', 'The Saint', 'Red Planet']"
262,Om Puri,"['East is East', 'Mangal Pandey: The Rising']"
263,Francis X. McCarthy,"['Alien Nation', ""Dead Men Don't Wear Plaid""]"
264,Jenifer Lewis,"['Cars', 'The Brothers', ""The Preacher's Wife"", 'The Temptations']"
265,Edward Herrmann,"[""The Emperor's Club"", ""My Boyfriend's Back"", 'Nixon']"
266,Britney Spears,"['Austin Powers: Goldmember', 'Crossroads', 'Longshot']"
267,James Caviezel,"['The Thin Red Line', 'The Count of Monte Cristo', 'Pay It Forward', 'The Rock', 'The Final Cut', 'Frequency']"
268,Bruce McGill,"['Live from Baghdad', 'Legally Blonde 2: Red, White & Blonde', 'Collateral', 'The Insider', ""National Lampoon's Animal House""]"
269,Til Schweiger,"['King Arthur', 'SLC Punk!', 'Lara Croft Tomb Raider: The Cradle of Life']"
270,Irene Jacob,"['Three Colors: Red', 'History Is Made at Night']"
271,Bernadette Peters,"['Impromptu', 'Anastasia', 'Beauty and the Beast: The Enchanted Christmas']"
272,Kyla Pratt,"['Dr. Dolittle 2', 'Fat Albert']"
273,Mary Kate Schellhardt,"['Free Willy 2: The Adventure Home', ""What's Eating Gilbert Grape""]"
274,Bernard Bresslaw,"['Morgan: A Suitable Case for Treatment', 'Jabberwocky']"
275,Anthony Newley,"['Alice in Wonderland', 'Oliver Twist', 'Doctor Dolittle']"
276,Cody Linley,"['Where the Heart Is', 'My Dog Skip']"
277,Cher,"['Mermaids', 'Mask', 'Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean']"
278,Mike Gomez,"[""By Dawn's Early Light"", 'El Norte']"
279,Joyce Van Patten,"[""St. Elmo's Fire"", 'Bad News Bears']"
280,Bill Nunn,"['Spider-Man', ""Mo' Better Blues""]"
281,Danny Nucci,"['Eraser', 'Titanic', 'Crimson Tide', 'Alive', 'The Rock']"
282,Peri Gilpin,"['Final Fantasy: The Spirits Within', ""How to Kill Your Neighbor's Dog""]"
283,Benjamin Bratt,"['Demolition Man', 'Exiled: A Law & Order Movie', 'Catwoman', 'Traffic', 'Pii±ero', 'Red Planet']"
284,Dave Chappelle,"[""You've Got Mail"", 'Robin Hood: Men in Tights', 'Blue Streak']"
285,Jessica Tandy,"['The Birds', ""Nobody's Fool"", 'Cocoon', 'Cocoon: The Return']"
286,Thomas Ian Griffith,"['XXX', 'Vampires']"
287,Ethan Phillips,"['Ragtime', 'The Island', 'Lean on Me', 'Rugrats Go Wild!']"
288,Craig Richards,"['Rat Race', 'The Flintstones', 'The Princess Diaries']"
289,Thomas Mitchell,"['Wilson', 'The Hurricane', 'Stagecoach']"
290,Jonathan Pryce,"[""Pirates of the Caribbean: Dead Man's Chest"", 'Pirates of the Caribbean: The Curse of the Black Pearl', 'Ronin', 'What a Girl Wants', 'Barbarians at the Gate', 'Stigmata', 'Brazil']"
291,Demi Moore,"[""Charlie's Angels: Full Throttle"", 'Striptease', 'Ghost', 'About Last Night', 'The Hunchback of Notre Dame', ""St. Elmo's Fire""]"
292,Mario Van Peebles,"['Ali', ""Rappin'"", 'The Cotton Club', 'BAADASSSSS!', 'Posse']"
293,John Ireland,"['Queen Bee', 'The Fast and the Furious', 'Gunfight at the O.K. Corral']"
294,Teresa Wright,"['Somewhere in Time', 'The Rainmaker']"
